"Rank","Title","Studio","Total_gross","Theaters","Opening","Theaters_2","Open","Close"
"80","Philomena","Wein.",37709979,1225,128435,4,"11/22","5/22"
"81","The Family","Rela.",36918811,3091,14034764,3091,"9/13","1/9"
"82","Walking with Dinosaurs","Fox",36076121,3243,7091938,3231,"12/20","4/10"
"83","Carrie","SGem",35266619,3157,16101552,3157,"10/18","11/24"
"84","Texas Chainsaw 3D","LGF",34341945,2659,21744470,2654,"1/4","2/28"
"85","R.I.P.D.","Uni.",33618855,2852,12691415,2852,"7/19","9/26"
"86","Blue Jasmine","SPC",33405481,1283,612064,6,"7/26","4/3"
"87","Kevin Hart: Let Me Explain","LG/S",32244051,892,10030463,876,"7/3","8/22"
"88","Side Effects","ORF",32172757,2605,9303145,2605,"2/8","5/16"
"89","Scary Movie 5","W/Dim.",32015787,3402,14157367,3402,"4/12","7/25"
"90","The Mortal Instruments: City of Bones","SGem",31165421,3118,9336957,3118,"8/21","10/6"
"91","Delivery Man","BV",30664106,3036,7944977,3036,"11/22","3/20"
"92","Grudge Match","WB",29807260,2856,7021993,2838,"12/25","3/13"
"93","One Direction: This is Us","TriS",28873374,2735,15815497,2735,"8/30","10/6"
"94","Kick-Ass 2","Uni.",28795985,2945,13332955,2940,"8/16","9/26"
"95","Dallas Buyers Club","Focus",27298285,1110,260865,9,"11/1","5/1"
"96","Rush","Uni.",26947624,2308,187289,5,"9/20","11/21"
"97","The Host","ORF",26627201,3202,10600112,3202,"3/29","5/30"
"98","The World's End","Focus",26004851,1553,8811790,1551,"8/23","12/5"
"99","21 and Over","Rela.",25682380,2771,8754168,2771,"3/1","5/16"
"100","Her","WB",25568251,1729,260382,6,"12/18","4/17"
"101","Escape Plan","LG/S",25135965,2883,9885732,2883,"10/18","1/16"
"102","Don Jon","Rela.",24477704,2422,8677009,2422,"9/27","1/9"
"103","The Incredible Burt Wonderstone","WB",22537881,3160,10177257,3160,"3/15","5/9"
"104","The Big Wedding","LGF",21819348,2633,7591663,2633,"4/26","7/4"
"105","Mud","RAtt.",21590086,960,2215891,363,"4/26","9/12"
"106","Baggage Claim","FoxS",21569509,2230,9031102,2027,"9/27","12/19"
"107","The Way, Way Back","FoxS",21506546,1001,552788,19,"7/5","11/21"
"108","The Book Thief","Fox",21488481,1316,105005,4,"11/8","4/10"
"109","The Place Beyond the Pines","Focus",21403519,1584,279457,4,"3/29","6/27"
"110","Homefront","ORF",20158898,2570,6915241,2570,"11/27","1/2"
"111","Broken City","Fox",19701164,2622,8268908,2620,"1/18","4/4"
"112","Beautiful Creatures","WB",19452138,2950,7582595,2950,"2/14","4/11"
"113","Runner Runner","Fox",19316646,3026,7706712,3026,"10/4","12/8"
"114","You're Next","LGF",18494006,2437,7020196,2437,"8/23","10/17"
"115","Quartet","Wein.",18390117,725,47122,2,"1/11","6/27"
"116","Admission","Focus",18007317,2161,6154984,2160,"3/22","6/6"
"117","Nebraska","Par.",17654912,968,140401,4,"11/15","3/20"
"118","Parker","FD",17616641,2238,7008222,2224,"1/25","4/4"
"119","Enough Said","FoxS",17550872,835,232800,4,"9/18","1/16"
"120","Dark Skies","W/Dim.",17418667,2313,8189166,2313,"2/22","5/23"
"121","The Counselor","Fox",16973715,3044,7842930,3044,"10/25","1/16"
"122","Jobs","ORF",16131410,2381,6713900,2381,"8/16","10/3"
"123","Fruitvale Station","Wein.",16101339,1086,386291,7,"7/12","10/31"
"124","About Time","Uni.",15322921,1280,1076250,175,"11/1","12/26"
"125","The Last Exorcism Part II","CBS",15179302,2700,7728354,2700,"3/1","4/4"
"126","Spring Breakers","A24",14124284,1379,263002,3,"3/15","6/11"
"127","Inside Llewyn Davis","CBS",13235319,729,405411,4,"12/6","3/13"
"128","The Last Stand","LGF",12050299,2913,6281433,2913,"1/18","2/28"
"129","Out of the Furnace","Rela.",11330849,2101,5220288,2101,"12/4","2/6"
"130","Dead Man Down","FD",10895295,2188,5345250,2188,"3/8","4/18"
"131","Getaway","WB",10501938,2135,4503892,2130,"8/30","10/3"
