"Title","Rank","Studio","Total_gross","Theaters","Opening","Theaters_2","Open","Close","imdb_Rating","Genres","Runtime","imdb_Votes","MPAA_rating","Critics_score","Opening_percentage","Opening_per_theater","Theater_change","Runtime_duration","imdb_votes_groups","total_gross_groups"
"don jon",102,"Rela.",24477704,2422,8677009,2422,2013-09-27,2014-01-09,6.6,"Comedy | Drama | Romance",90,160426,"R",8.1,35.45,3582.6,0,104,5,2
"drinking buddies",259,"Magn.",343341,33,19505,2,2013-08-23,2013-11-21,6.1,"Drama | Romance",90,38428,"R",8.3,5.68,9752.5,31,90,3,1
"elysium",38,"TriS",93050117,3284,29807393,3284,2013-08-09,2013-11-24,6.7,"Action | Drama | Sci-Fi | Thriller",109,271193,"R",6.8,32.03,9076.6,0,107,5,3
"ender's game",57,"LG/S",61737191,3407,27017351,3407,2013-11-01,2014-01-09,6.7,"Action | Sci-Fi",114,156261,"PG-13",6,43.76,7930,0,69,5,3
"enough said",119,"FoxS",17550872,835,232800,4,2013-09-18,2014-01-16,7.1,"Comedy | Drama | Romance",93,41831,"PG-13",9.6,1.33,58200,831,120,3,2
"epic",31,"Fox",107518682,3894,33531068,3882,2013-05-24,2013-09-19,6.7,"Animation | Adventure | Family | Fantasy",102,74161,"PG",6.4,31.19,8637.6,12,118,3,4
"escape from planet earth",61,"Wein.",57012977,3353,15891055,3288,2013-02-15,2013-07-25,5.9,"Animation | Adventure | Comedy | Family | Sci-Fi",89,17940,"PG",3.3,27.87,4833,65,160,2,3
"escape plan",101,"LG/S",25135965,2883,9885732,2883,2013-10-18,2014-01-16,6.8,"Action | Mystery | Thriller",115,146899,"R",4.8,39.33,3429,0,90,4,2
"evil dead",65,"TriS",54239856,3025,25775847,3025,2013-04-05,2013-06-09,6.5,"Horror",91,107571,"R",6.2,47.52,8520.9,0,65,3,3
"fast & furious 6",9,"Uni.",238679850,3771,97375245,3658,2013-05-24,2013-09-05,7.2,"Action | Crime | Thriller",130,242417,"PG-13",6.8,40.8,26619.8,113,104,5,5
"free birds",63,"Rela.",55750480,3736,15805237,3736,2013-11-01,2014-03-20,5.9,"Animation | Adventure | Comedy | Family",91,15245,"PG",1.8,28.35,4230.5,0,139,2,3
"frozen",3,"BV",400738009,3742,243390,1,2013-11-22,2014-07-17,7.7,"Animation | Adventure | Comedy | Family | Fantasy | Musical",102,325893,"PG",8.9,0.06,243390,3741,237,5,6
"fruitvale station",123,"Wein.",16101339,1086,386291,7,2013-07-12,2013-10-31,7.5,"Biography | Drama | Romance",85,39586,"R",9.4,2.4,55184.4,1079,111,3,2
"g.i. joe: retaliation",25,"Par.",122523060,3734,40501814,3719,2013-03-28,2013-07-18,5.8,"Action | Adventure | Sci-Fi | Thriller",110,127745,"PG-13",2.8,33.06,10890.5,15,112,4,4
"gangster squad",71,"WB",46000903,3103,17070347,3103,2013-01-11,2013-04-04,6.8,"Action | Crime | Drama | Thriller",113,155737,"R",3.2,37.11,5501.2,0,83,5,2
"getaway",131,"WB",10501938,2135,4503892,2130,2013-08-30,2013-10-03,4.4,"Action | Crime | Thriller",90,16694,"PG-13",0.2,42.89,2114.5,5,34,2,2
"gravity",6,"WB",274092705,3820,55785112,3575,2013-10-04,2014-05-08,7.9,"Sci-Fi | Thriller",91,482919,"PG-13",9.7,20.35,15604.2,245,216,5,5
"grown ups 2",21,"Sony",133668525,3491,41508572,3491,2013-07-12,2013-11-17,5.4,"Comedy",101,88282,"PG-13",0.7,31.05,11890.2,0,128,3,4
"grudge match",92,"WB",29807260,2856,7021993,2838,2013-12-25,2014-03-13,6.5,"Comedy | Sport",113,37465,"PG-13",2.9,23.56,2474.3,18,78,3,2
"her",100,"WB",25568251,1729,260382,6,2013-12-18,2014-04-17,8,"Drama | Romance | Sci-Fi",126,270720,"R",9.4,1.02,43397,1723,120,5,2
"homefront",110,"ORF",20158898,2570,6915241,2570,2013-11-27,2014-01-02,6.5,"Action | Crime | Drama | Thriller",100,68085,"R",4.2,34.3,2690.8,0,36,3,2
"identity thief",20,"Uni.",134506920,3230,34551025,3141,2013-02-08,2013-06-06,5.7,"Comedy | Crime",111,81581,"R",1.9,25.69,11000,89,118,3,4
"inside llewyn davis",127,"CBS",13235319,729,405411,4,2013-12-06,2014-03-13,7.5,"Drama | Music",104,71746,"R",9.4,3.06,101352.8,725,97,3,2
"instructions not included",74,"LGF",44467206,978,7846426,348,2013-08-30,2013-12-12,7.6,"Comedy | Drama",115,18282,"PG-13",5.6,17.65,22547.2,630,104,2,2
"iron man 3",2,"BV",409013994,4253,174144585,4253,2013-05-03,2013-09-12,7.3,"Action | Adventure | Sci-Fi",130,447969,"PG-13",7.9,42.58,40946.3,0,132,5,6
"jack the giant slayer",54,"WB (NL)",65187603,3525,27202226,3525,2013-03-01,2013-06-13,6.3,"Adventure | Fantasy",114,92610,"PG-13",5.2,41.73,7716.9,0,104,3,3
"jackass presents: bad grandpa",33,"Par.",102003019,3345,32055177,3336,2013-10-25,2014-01-23,6.6,"Comedy",92,68948,"R",6,31.43,9608.9,9,90,3,4
"jobs",122,"ORF",16131410,2381,6713900,2381,2013-08-16,2013-10-03,5.9,"Biography | Drama",128,63233,"PG-13",2.7,41.62,2819.8,0,48,3,2
"kick-ass 2",94,"Uni.",28795985,2945,13332955,2940,2013-08-16,2013-09-26,6.7,"Action | Comedy | Crime",103,164392,"R",2.9,46.3,4535,5,41,5,2
"kill your darlings",213,"SPC",1030064,78,53452,4,2013-10-16,2014-02-27,6.5,"Biography | Drama | Romance | Thriller",104,19175,"R",7.6,5.19,13363,74,134,2,1
"last vegas",56,"CBS",63914167,3237,16334566,3065,2013-11-01,2014-02-20,6.7,"Comedy",105,90636,"PG-13",4.6,25.56,5329.4,172,111,3,3
"lee daniels' the butler",29,"Wein.",116632095,3330,24637312,2933,2013-08-16,2014-02-13,7.1,"Biography | Drama",132,72157,"PG-13",7.1,21.12,8400,397,181,3,4
"lovelace",257,"RTWC",356582,118,184536,118,2013-08-09,2013-09-05,6.2,"Biography | Drama",93,25548,"R",5.4,51.75,1563.9,0,27,2,1
"machete kills",139,"ORF",8008161,2538,3837183,2538,2013-10-11,2013-11-14,5.7,"Action | Crime | Thriller",107,48182,"R",2.9,47.92,1511.9,0,34,3,1
"mama",47,"Uni.",71628180,2781,28402310,2647,2013-01-18,2013-04-04,6.2,"Horror",100,111157,"PG-13",6.5,39.65,10730,134,76,3,3
"man of steel",5,"WB",291045518,4207,116619362,4207,2013-06-14,2013-09-19,7.2,"Action | Adventure | Fantasy | Sci-Fi",143,450989,"PG-13",5.5,40.07,27720.3,0,97,5,5
"mandela: long walk to freedom",136,"Wein.",8323085,1010,84283,4,2013-11-29,2014-03-27,7.1,"Biography | Drama | History",141,17096,"PG-13",5.8,1.01,21070.8,1006,118,2,1
"metallica through the never",159,"PH",3419967,589,1576561,305,2013-09-27,2013-10-27,7.3,"Music",93,11369,"R",7.8,46.1,5169.1,284,30,1,1
"monsters university",7,"BV",268492764,4004,82429469,4004,2013-06-21,2013-12-19,7.4,"Animation | Adventure | Comedy | Family | Fantasy",104,184978,"G",7.8,30.7,20586.8,0,181,5,5
"movie 43",135,"Rela.",8840453,2023,4805878,2023,2013-01-25,2013-03-14,4.4,"Comedy",94,68785,"R",0.4,54.36,2375.6,0,48,3,1
"nebraska",117,"Par.",17654912,968,140401,4,2013-11-15,2014-03-20,7.8,"Comedy | Drama",115,75225,"R",9.2,0.8,35100.2,964,125,3,2
"new world",241,"WGUSA",457806,24,129954,24,2013-03-22,2013-04-18,7.6,"Action | Crime | Drama | Thriller",134,9458,"Unrated",6.4,28.39,5414.8,0,27,1,1
