"Title","imdb_Rating","Genres","Runtime","imdb_Votes"
"Movie 43",4.4,"Comedy",94,"68,785"
"Homefront",6.5,"Action | Crime | Drama | Thriller",100,"68,085"
"Out of the Furnace",6.8,"Crime | Drama | Thriller",116,"67,926"
"Blue Is the Warmest Color",7.9,"Drama | Romance",179,"66,064"
"Jobs",5.9,"Biography | Drama",128,"63,233"
"Philomena",7.7,"Biography | Drama",98,"61,692"
"Begin Again",7.5,"Drama | Music",104,"61,297"
"Under the Skin",6.3,"Drama | Sci-Fi | Thriller",108,"60,627"
"Nymphomaniac: Vol. I",7.1,"Drama",117,"59,841"
"Enemy",6.8,"Mystery | Thriller",90,"59,367"
"Safe Haven",6.7,"Drama | Romance | Thriller",115,"58,934"
"Oculus",6.5,"Horror",104,"58,338"
"42",7.5,"Biography | Drama | Sport",128,"57,817"
"Locke",7.1,"Drama",85,"57,339"
"Beautiful Creatures",6.2,"Drama | Fantasy | Romance",124,"57,078"
"The Bling Ring",5.6,"Biography | Crime | Drama",90,"57,022"
"Broken City",6.2,"Crime | Drama | Thriller",109,"56,667"
"Snitch",6.5,"Action | Drama | Thriller",112,"56,599"
"Filth",7.1,"Comedy | Crime | Drama",97,"55,970"
"August: Osage County",7.3,"Drama",121,"55,240"
"The Incredible Burt Wonderstone",5.9,"Comedy | Romance",100,"54,508"
"21 & Over",5.9,"Comedy",93,"51,638"
"The Best Offer",7.8,"Crime | Drama | Mystery | Romance",131,"51,291"
"Turbo",6.5,"Animation | Adventure | Comedy | Family | Sport",96,"51,046"
"Cloudy with a Chance of Meatballs 2",6.5,"Animation | Comedy | Family | Fantasy | Sci-Fi",95,"49,663"
"All Is Lost",6.9,"Action | Adventure | Drama",106,"49,156"
"Dead Man Down",6.5,"Action | Crime | Drama | Thriller",118,"48,618"
"Dark Skies",6.3,"Horror | Sci-Fi | Thriller",97,"48,320"
"Machete Kills",5.7,"Action | Crime | Thriller",107,"48,182"
"Delivery Man",6.4,"Comedy | Drama",105,"47,477"
"The Kings of Summer",7.2,"Comedy | Drama",95,"47,396"
"Runner Runner",5.6,"Crime | Thriller",91,"45,902"
"Redemption",6.2,"Action | Crime | Drama",100,"43,013"
"Only Lovers Left Alive",7.3,"Drama | Horror | Romance",123,"42,816"
"Scary Movie 5",3.5,"Comedy",86,"42,578"
"Enough Said",7.1,"Comedy | Drama | Romance",93,"41,831"
"Europa Report",6.5,"Sci-Fi | Thriller",90,"41,190"
"The Great Beauty",7.7,"Drama",142,"40,936"
"Nymphomaniac: Vol. II",6.8,"Drama",123,"40,643"
"Oldboy",5.7,"Action | Drama | Mystery | Thriller",104,"40,055"
"Fruitvale Station",7.5,"Biography | Drama | Romance",85,"39,586"
"Drinking Buddies",6.1,"Drama | Romance",90,"38,428"
"Grudge Match",6.5,"Comedy | Sport",113,"37,465"
"The Frozen Ground",6.4,"Biography | Crime | History | Thriller",105,"37,251"
"Short Term 12",8,"Drama",96,"36,753"
"The East",6.9,"Drama | Thriller",116,"36,210"
"Horns",6.5,"Drama | Fantasy | Thriller",120,"33,809"
"The Big Wedding",5.6,"Comedy",89,"31,726"
"Texas Chainsaw 3D",4.8,"Horror | Thriller",92,"30,194"
"What If",6.9,"Comedy | Drama | Romance",98,"30,080"
"Planes",5.7,"Animation | Adventure | Comedy | Family",91,"30,004"
"The Colony",5.3,"Action | Horror | Sci-Fi | Thriller",95,"29,968"
"A Haunted House",5,"Comedy | Horror",86,"29,672"
"Bhaag Milkha Bhaag",8.4,"Biography | Drama | History | Sport",186,"29,074"
"Dhoom: 3",5.5,"Action | Crime | Thriller",172,"28,972"
"Chennai Express",6,"Action | Comedy | Romance",141,"28,937"
"Bad Words",6.7,"Comedy",89,"28,582"
"Joe",6.9,"Drama",117,"28,374"
"The Wind Rises",7.8,"Animation | Biography | Drama | Romance | War",126,"28,309"
"The Past",7.9,"Drama | Mystery",130,"27,355"
"Blue Ruin",7.1,"Crime | Drama | Thriller",90,"27,065"
"Odd Thomas",6.8,"Fantasy | Mystery | Thriller",97,"26,872"
"Coherence",7.1,"Sci-Fi | Thriller",89,"26,315"
"Waar",8.7,"Action | Drama | Thriller",130,"25,780"
"I Give It a Year",5.8,"Comedy | Romance",97,"25,606"
"Lovelace",6.2,"Biography | Drama",93,"25,548"
"Admission",5.7,"Comedy | Drama | Romance",107,"24,890"
"The Double",6.6,"Comedy | Drama | Thriller",93,"24,274"
"Labor Day",6.9,"Drama",111,"24,074"
"The To Do List",5.8,"Comedy",104,"24,014"
"Killing Season",5.4,"Action | Drama | Thriller",91,"23,733"
"The Zero Theorem",6.2,"Drama | Fantasy | Sci-Fi",107,"23,756"
"The Last Days on Mars",5.5,"Horror | Sci-Fi | Thriller",98,"23,615"
"Man of Tai Chi",6.1,"Action | Drama",105,"23,536"
"Paranoia",5.6,"Drama | Thriller",106,"23,429"
"The Smurfs 2",5.4,"Animation | Adventure | Comedy | Family | Fantasy",105,"22,906"
"The Fifth Estate",6.1,"Biography | Drama | Thriller",128,"22,644"
"Welcome to the Punch",6.1,"Action | Crime | Thriller",99,"22,555"
"The Lunchbox",7.8,"Drama | Romance",104,"21,724"
"V/H/S/2",6.1,"Horror | Thriller",96,"21,280"
"Special 26",7.9,"Crime | Drama | History | Thriller",144,"20,856"
"The Grandmaster",6.5,"Action | Biography | Drama",130,"20,791"
"Ida",7.4,"Drama",82,"20,860"
"In a World...",6.7,"Comedy",93,"20,377"
"Alan Partridge",7,"Comedy",90,"20,261"
"The Railway Man",7.1,"Biography | Drama | War",116,"19,974"
"The Machine",6.1,"Sci-Fi | Thriller",91,"19,270"
"Kill Your Darlings",6.5,"Biography | Drama | Romance | Thriller",104,"19,175"
"Curse of Chucky",5.6,"Crime | Horror | Thriller",97,"18,604"
"Adore",6.2,"Drama | Romance",112,"18,441"
"Hours",6.5,"Drama | Thriller",97,"18,411"
"Instructions Not Included",7.6,"Comedy | Drama",115,"18,282"
"The Physician",7.3,"Adventure | Drama",150,"18,220"
"Starred Up",7.4,"Drama",106,"18,235"
"Yeh Jawaani Hai Deewani",6.8,"Drama | Musical | Romance",160,"18,129"
"Escape from Planet Earth",5.9,"Animation | Adventure | Comedy | Family | Sci-Fi",89,"17,940"
"Open Grave",6.3,"Horror | Mystery | Thriller",102,"17,670"
"Mandela: Long Walk to Freedom",7.1,"Biography | Drama | History",141,"17,096"
"Getaway",4.4,"Action | Crime | Thriller",90,"16,694"
"How I Live Now",6.5,"Drama | Romance | Thriller",101,"16,503"
"Upstream Color",6.8,"Drama | Mystery | Sci-Fi",96,"16,384"
"Aashiqui 2",7.1,"Drama | Music | Musical | Romance",132,"16,360"
"Charlie Countryman",6.4,"Comedy | Drama | Romance | Thriller",103,"16,340"
"Dom Hemingway",6.2,"Comedy | Crime | Drama",93,"16,066"
"Raanjhanaa",7.7,"Drama | Romance",140,"15,791"
"Kai po che!",7.7,"Drama | Sport",120,"15,755"
"Young & Beautiful",6.8,"Drama",95,"15,735"
"Free Birds",5.9,"Animation | Adventure | Comedy | Family",91,"15,245"
"The Art of the Steal",6.3,"Comedy | Crime",90,"15,219"
"Fading Gigolo",6.3,"Comedy",90,"15,061"
"The Immigrant",6.6,"Drama | Romance",120,"14,459"
"Assault on Wall Street",6.1,"Action | Drama | Thriller",99,"14,354"
"Closed Circuit",6.2,"Crime | Drama | Mystery | Thriller",96,"14,244"
"I'm So Excited!",5.6,"Comedy",90,"14,011"
"The 100-Year-Old Man Who Climbed Out the Window and Disappeared",7.1,"Adventure | Comedy",114,"13,474"
"The Numbers Station",5.5,"Action | Thriller",89,"13,392"
"Knights of Badassdom",5.7,"Comedy | Fantasy | Horror",86,"13,347"
"Krrish 3",5.6,"Action | Sci-Fi",152,"13,302"
"I Spit on Your Grave 2",5.7,"Crime | Horror | Thriller",106,"13,290"
"Prince Avalanche",6.4,"Comedy | Drama",94,"13,261"
"Ain't Them Bodies Saints",6.4,"Crime | Drama | Romance",96,"13,019"
"After the Dark",5.7,"Drama | Fantasy | Sci-Fi | Thriller",107,"12,698"
"Third Person",6.4,"Drama | Romance",137,"12,622"
"Dragon Ball Z: Battle of Gods",7.3,"Animation | Action | Comedy | Fantasy | Sci-Fi",85,"12,297"
"Palo Alto",6.3,"Drama",100,"12,210"
"Madras Cafe",7.9,"Action | Drama | History | Thriller | War",130,"12,039"
"Belle",7.4,"Drama",104,"12,029"
"Diana",5.4,"Biography | Drama | Romance",113,"11,979"
"The Last Exorcism Part II",3.9,"Drama | Horror | Thriller",88,"11,970"
"Empire State",5.2,"Action | Crime | Drama | Thriller",94,"11,767"
"Tracks",7.2,"Adventure | Biography | Drama",112,"11,763"
"Afflicted",6.3,"Horror | Thriller",85,"11,672"
"We Are What We Are",5.8,"Drama | Horror | Thriller",105,"11,643"
"Devil's Pass",5.7,"Horror | Mystery | Sci-Fi | Thriller",100,"11,574"
"The Starving Games",3.3,"Adventure | Comedy",83,"11,548"
"Suck Me Shakespeer",7.1,"Comedy",119,"11,543"
"Austenland",6.2,"Comedy | Romance",97,"11,495"
"Metallica Through the Never",7.3,"Music",93,"11,369"
"The Haunting in Connecticut 2: Ghosts of Georgia",5.2,"Drama | Horror | Thriller",101,"11,143"
"Tangerines",8.6,"Drama | History | War",87,"11,017"
"Blood Ties",6.5,"Crime | Drama | Thriller",127,"10,817"
"The Butterfly's Dream",8,"Biography | Drama | History | Romance",138,"10,591"
"Phantom",5.8,"History | Thriller | War",98,"10,416"
"The Best Man Holiday",6.7,"Comedy | Drama",123,"10,089"
"Anna",6.4,"Drama | Thriller",99,"10,065"
"Vehicle 19",4.9,"Action | Thriller",85,"9,985"
"Parkland",6.3,"Drama | History | Mystery | Thriller",93,"9,778"
"The Human Race",5.5,"Action | Horror | Sci-Fi",87,"9,717"
"Haunter",5.9,"Horror | Mystery | Thriller",97,"9,699"
"The Lifeguard",5.7,"Drama | Romance",98,"9,684"
"Big Bad Wolves",6.8,"Crime | Thriller",110,"9,658"
"Stalingrad",5.6,"Action | Drama | War",131,"9,634"
"Grand Piano",5.9,"Mystery | Thriller",90,"9,559"
"New World",7.6,"Action | Crime | Drama | Thriller",134,"9,458"
"Cheap Thrills",6.8,"Comedy | Crime | Drama | Thriller",88,"9,423"
"Night Train to Lisbon",6.8,"Mystery | Romance | Thriller",111,"9,225"
"Temptation: Confessions of a Marriage Counselor",4.8,"Drama | Thriller",111,"9,174"
"Devil's Knot",6,"Biography | Crime | Drama | Thriller",114,"9,166"
"Dügün Dernek",7.5,"Comedy",106,"9,093"
"The Congress",6.6,"Animation | Drama | Sci-Fi",122,"8,993"
"Mood Indigo",6.5,"Comedy | Drama | Fantasy | Romance",131,"8,982"
"Wolf Creek 2",6.1,"Horror | Thriller",106,"8,873"
"Adult World",6.1,"Comedy",97,"8,859"
"Tarzan",4.8,"Animation | Adventure | Drama | Family",94,"8,781"
"Goliyon Ki Rasleela Ram-Leela",6.3,"Drama | Musical | Romance",150,"8,738"
"Zulu",6.7,"Crime | Drama | Thriller",110,"8,611"
"Race 2",5.3,"Action | Crime | Drama | Thriller",150,"8,572"
"A.C.O.D.",5.7,"Comedy",88,"8,499"
"Like Father, Like Son",7.8,"Drama",121,"8,497"
"The Keeper of Lost Causes",7.1,"Crime | Mystery | Thriller",97,"8,470"
"Borgman",6.8,"Drama | Thriller",113,"8,344"
"Venus in Fur",7.2,"Drama",96,"8,092"
"Lootera",7.4,"Drama | Romance",136,"8,060"
"Life of Crime",5.8,"Comedy | Crime",98,"8,033"
"Welcome to the Jungle",5,"Adventure | Comedy",95,"7,853"
"Nisshartho Bhalobasha: What is Love!",8.1,"Action | Comedy | Drama | Romance",151,"7,793"
"Syrup",5.7,"Comedy | Drama | Romance",90,"7,654"
"Rapture-Palooza",5.2,"Comedy | Fantasy",85,"7,580"
"Are You Here",5.3,"Comedy",114,"7,592"
"Walking with Dinosaurs 3D",5.2,"Animation | Adventure | Family",87,"7,504"
"The Sacrament",6.1,"Horror | Thriller",99,"7,465"
"Breathe In",6.4,"Drama | Romance",98,"7,419"
"The Tale of The Princess Kaguya",8.1,"Animation | Drama | Fantasy",137,"7,416"
"Last Love",6.8,"Comedy | Drama",116,"7,344"
"The Grand Seduction",7,"Comedy",113,"7,316"
"Chinese Puzzle",7,"Comedy | Drama | Romance",117,"7,303"
"The Canyons",3.9,"Drama | Thriller",99,"7,211"
"The Young and Prodigious T.S. Spivet",7.1,"Action | Adventure | Drama | Family",105,"7,204"
"Go Goa Gone",6.5,"Action | Adventure | Comedy | Horror",108,"7,178"
"Pawn Shop Chronicles",5.9,"Action | Comedy | Crime",112,"7,042"
"Night Moves",6,"Drama | Thriller",112,"6,962"
"Battle of the Year",4.9,"Music",110,"6,901"
"The English Teacher",5.8,"Comedy | Drama",93,"6,871"
"The Selfish Giant",7.4,"Drama",91,"6,821"
"Witching and Bitching",6.4,"Comedy | Horror",112,"6,810"
"Omar",7.6,"Drama | Thriller",96,"6,804"
"Scenic Route",6.6,"Drama | Thriller",82,"6,789"
"Stranger by the Lake",6.9,"Drama | Thriller",97,"6,768"
"Contracted",5.2,"Drama | Horror | Thriller",78,"6,761"
"A Single Shot",5.8,"Crime | Drama | Thriller",116,"6,708"
"Real Gangsters",7.7,"Crime | Drama | Mystery | Thriller",88,"6,678"
"Ninja: Shadow of a Tear",6.2,"Action | Crime | Thriller",95,"6,633"
"Hell Baby",4.8,"Comedy | Horror",98,"6,558"
"The Gilded Cage",7.4,"Comedy",90,"6,552"
"Magic Magic",5,"Thriller",97,"6,386"
"A Case of You",5.6,"Comedy | Romance",89,"6,332"
"Very Good Girls",6,"Drama",91,"6,240"
"Romeo & Juliet",5.7,"Drama | History | Romance",118,"6,213"
"The Love Punch",5.7,"Comedy",94,"6,192"
